texture_stem,slot_name,tri_strcode,texture_strcode
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-normal_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-officer_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-rain_stroke_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-scientist_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-sneaking_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-snow_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-spider_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-spirit_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-splitter_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-squares_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-tiger_stripe_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-tree_bark_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-water_vr,413aa8,03a157
