texture_name,tri_dumped_tga_sha1,tri_dumped_width,tri_dumped_height,tri_dumped_width_pow2,tri_dumped_height_pow2,tri_dumped_png_converted_sha1,tri_dumped_alpha_stripped_sha1
ast_arm.bmp,369951a8baa8ae751a058d80f4bd8544d4655a75,64,80,64,128,cbb035c8617c38d93fbdab12e021ac884e7096fe,16c4966ad7578517d86ab561dda682aaeb10c78d
ast_body.bmp,375803ab6d51bccf2bbd3c6e2c239fff49586af7,256,256,256,256,20684f701b19fdc96ac853d86df010172b9a50f3,a6d780a3baa522e57e92699d14b8cfd95d4c580f
ast_boots_ovl_mod1120_alp_emap.bmp,e09125d28c3f6986aed38e57097b9c85fc4a6365,32,32,32,32,a292a60e248c5707516de82b0bf04a2886d76de3,8f3169cfd333481cacdaf03987cf7ae0b76767e3
ast_eye_new.bmp,2a0969772fbe665f9fcbeb0c980f9265751550fa,32,32,32,32,34e7c3f25f46c659104e0992734789aec750018b,124309554548a67dbe76b5547cf72f37a669fcb8
ast_face.bmp,583fb971081a2f0068f530a596bc51351d0d81c7,240,160,256,256,ead3d511a5e940026d79abbde0129aba1154ef7d,a23f816978616daad60a1f129435eaa923ba7788
ast_foot.bmp,e74b57e4f9cc0256a9d716fd7dba2712845377d7,64,128,64,128,5c46970ed9e900cf12d40dbc3158a90ec0594fd1,a338065e04c8bd1f009b6a2372bc9260a6d79912
ast_foot_ovl_mod1120_alp_emap.bmp,2137f87c5e48706b46c73fc726d00b9a7eb81b4a,32,32,32,32,461b599410cc09e4db1769ac55f7171d280791a1,e2fd445c996d573522872e1649b033cb494eeea2
ast_grass_flame.bmp,101331726c467819f15fe4d4cda5ed7178228f49,40,16,64,16,4a842bdee720d1abf8d53a61e37215d6d9949dcd,409a979ec0514f5d1e28f39bd65c0a558751d1f5
ast_hair_ovl_alp.bmp,1043236dfa221fb7e076543103995002f616aaba,64,172,64,256,301ba496d42b1e739758706e38ff8789a8720d3d,4dc31711c6f5c635b08caae929ced6637e51ae2f
ast_idcard.bmp,3f37c726b84594f4d350b0fdb82267e38411f15a,64,42,64,64,051de436a872b0126fcd3af02caf9ba8cdb07d72,81e3f30fcd15675dca627d6aa95b3004cb22ae31
ast_item_tray_base.bmp,a126ec42f56e660443c7b22721d8e54a713015ed,128,80,128,128,f3fc7cdf4251753995c8fa180e313d9bedaddbfe,72c5a59ac4b451728678f2c4ef41ed3a8ac90ef8
ast_neck.bmp,e81573ee547b839bfc38aa1f10820713a73f7015,64,32,64,32,76b9f58fd9e71b675ef6149f6a5105f90e17303a,173f8ff7a2d4c4f2c089b2e30f7b85e12ee57b5d
ataiya_ovl_sub_alp.bmp,0b5de7cc39c655dc57a60b3c6605880b0585ae69,240,54,256,64,3c4c2c9b373077dbc42cd878042bd4e2f0ab0399,632df276034e83271d90b63739687cd9d12db66e
ataiya_ovl_sub_alp.bmp_70b0ef6e0148fe4ecdf1d050443e70c4,4a16389d92b6911c450f6cf75cc30c0aa79c9397,120,27,128,32,a52b044ab6fa4788e6916569f49e81d343a3e569,8d44ad4ac65540bec5a30104a8a0651971dd59be
ataiyabase_ovl_sub_alp.bmp,f512d28b630093d78dd696a920b1d411637df060,54,16,64,16,6838b188292abab72d30d367a7d9c998f4365f4f,9381a8028778c6a016da79894c12bae79752b63b
ataiyabase_ovl_sub_alp.bmp_369e6b99fc38083c1787314a7fdc765c,c2923992995a16fd7fe79afbfed3d64031aaa5a1,27,8,32,8,c61febf5f1dbd8ddfb18ef93a29e14cbe24ad95c,2999302bdce0f1dbd3bb6846ef22dc22a8430d70
atank_ovl_sub_alp.bmp,49e066b28b32f07670c448795d90060f4141d16a,154,154,256,256,14d85a43dd678a035e1603ec4be71740ac71bd99,b25991244587eb807e97961ec58199f1a1313892
atank_ovl_sub_alp.bmp_ea31fbeefc636adacf0fc3ea3a39bbe6,837e01d3169406538ee21c64d0f86b63c231a6f4,77,77,128,128,516986a719e1ddc32f07f352286707b140176249,604aaaa09d1a2024fc78421736ba400a36250607
ateallamp_ovl_sub_alp.bmp,8f0990c2158e3af13adcebd92b554d4e8206c573,60,20,64,32,cd7b1443900f85b8ce9f2f39ca9a44f1d2c253c3,c65853b4b653c484145f82870319c44f2849d99c
ateallamp_ovl_sub_alp.bmp_c97c0848a1700c59f14e833e062087e8,216e4f9898d08da57773b26de232739f314d97e5,30,10,32,16,29341b44ed90395e643ceb37ae8120a41c397433,a24744e1d1bcd0ca098c712694890ba1641943b5
awaiyer_ovl_sub_alp.bmp,e3eec8291fa900c8addc97cb19e1cb84d66c8c62,132,6,256,8,edbe8aebd4a0e6d838c51d34bd785fc91c185605,46e022197d2673b7e282317745724d67ddfdc0aa
awaiyer_ovl_sub_alp.bmp_77400dbc8e958689ae031e109a2e6bfd,6b7aa3f232070f47d5f046f8a48a8722835059f6,66,3,128,4,d843b5bba2be8f865b7fb0e268ac83091bef2d2b,5c3fe844dfdb4cdf0ac9b94c646aa3e387ce0760
award_cup00.bmp,80e19d8eb259d883cbb4ecc542af07604c984a8a,32,64,32,64,85053c572445aeeb3d25e31575c2310c93b8a7d4,0bf66b57e742c716bbbd9d9e1e7286606963ad6a
